Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Ja'Marr Chase,WR,CIN,-1
3,Christian McCaffrey,RB,SF,-1
4,Cooper Kupp,WR,LAR,-1
5,Tyreek Hill,WR,MIA,-1
6,Austin Ekeler,RB,LAC,-1
7,Amon-Ra St. Brown,WR,DET,-1
8,Josh Jacobs,RB,LV,-1
9,Saquon Barkley,RB,NYG,-1
10,Tony Pollard,RB,DAL,-1
11,Travis Kelce,TE,KC,-1
12,Davante Adams,WR,LV,-1
13,Stefon Diggs,WR,BUF,-1
14,Bijan Robinson,RB,ATL,-1
15,Nick Chubb,RB,CLE,-1
16,CeeDee Lamb,WR,DAL,-1
17,Jaylen Waddle,WR,MIA,-1
18,Garrett Wilson,WR,NYJ,-1
19,A.J. Brown,WR,PHI,-1
20,Derrick Henry,RB,TEN,-1
21,Rhamondre Stevenson,RB,NE,-1
22,Joe Mixon,RB,CIN,-1
23,Chris Olave,WR,NO,-1
24,DeVonta Smith,WR,PHI,-1
25,Tee Higgins,WR,CIN,-1
26,Jonathan Taylor,RB,IND,-1
27,J.K. Dobbins,RB,BAL,-1
28,Travis Etienne Jr.,RB,JAC,-1
29,Najee Harris,RB,PIT,-1
30,Mark Andrews,TE,BAL,-1
31,Aaron Jones,RB,GB,-1
32,T.J. Hockenson,TE,MIN,-1
33,Calvin Ridley,WR,JAC,-1
34,Patrick Mahomes II,QB,KC,-1
35,Jalen Hurts,QB,PHI,-1
36,Josh Allen,QB,BUF,-1
37,DK Metcalf,WR,SEA,-1
38,Keenan Allen,WR,LAC,-1
39,Alvin Kamara,RB,NO,-1
40,Dameon Pierce,RB,HOU,-1
41,Jahmyr Gibbs,RB,DET,-1
42,Miles Sanders,RB,CAR,-1
43,DeAndre Hopkins,WR,TEN,-1
44,Chris Godwin,WR,TB,-1
45,Christian Watson,WR,GB,-1
46,Amari Cooper,WR,CLE,-1
47,Cam Akers,RB,LAR,-1
48,Alexander Mattison,RB,MIN,-1
49,Rachaad White,RB,TB,-1
50,Lamar Jackson,QB,BAL,-1
51,Justin Fields,QB,CHI,-1
52,DJ Moore,WR,CHI,-1
53,Tyler Lockett,WR,SEA,-1
54,George Kittle,TE,SF,-1
55,Khalil Herbert,RB,CHI,-1
