Rank,Name,Pos,Team,Cost
1,J Jefferson,WR,MIN,33
2,J Chase,WR,CIN,33
3,T Hill,WR,MIA,33
4,C McCaffrey,RB,SF,32
5,A Ekeler,RB,LAC,28
6,S Diggs,WR,BUF,26
7,T Kelce,TE,KC,26
8,C Kupp,WR,LAR,32
9,S Barkley,RB,NYG,25
10,C Lamb,WR,DAL,25
11,T Pollard,RB,DAL,18
12,B Robinson,RB,ATL,18
13,A St. Brown,WR,DET,18
14,D Adams,WR,LV,25
15,A Brown,WR,PHI,18
16,G Wilson,WR,NYJ,15
17,J Jacobs,RB,LV,28
18,D Henry,RB,TEN,14
19,J Taylor,RB,IND,18
20,P Mahomes,QB,KC,18
21,J Allen,QB,BUF,18
22,J Hurts,QB,PHI,18
23,J Mixon,RB,CIN,14
24,N Chubb,RB,CLE,18
25,T Higgins,WR,CIN,14
26,J Waddle,WR,MIA,14
27,D Smith,WR,PHI,14
28,M Andrews,TE,BAL,12
29,C Olave,WR,NO,12
30,M Sanders,RB,CAR,12
31,R Stevenson,RB,NE,12
32,T Etienne,RB,JAC,12
33,A Jones,RB,GB,10
34,C Kirk,WR,JAC,12
35,C Ridley,WR,JAC,10
36,D Samuel,WR,SF,10
37,C Watson,WR,GB,10
38,D Hopkins,WR,TEN,10
39,K Allen,WR,LAC,10
40,D London,WR,ATL,10
41,A Mattison,RB,MIN,10
42,N Harris,RB,PIT,8
43,T Hockenson,TE,MIN,8
44,J Gibbs,RB,DET,8
45,L Jackson,QB,BAL,8
46,J Fields,QB,CHI,8
47,J Cook,RB,BUF,6
48,D Montgomery,RB,DET,8
49,J Dotson,WR,WAS,8
50,D Johnson,WR,PIT,8
51,T McLaurin,WR,WAS,8
52,D Metcalf,WR,SEA,8
53,D Moore,WR,CHI,10
54,D Pierce,RB,HOU,8
55,A Cooper,WR,CLE,8
56,J Williams,RB,DEN,8
57,R White,RB,TB,8
58,J Conner,RB,ARI,8
59,K Pitts,TE,ATL,8
60,J Addison,WR,MIN,7
61,J Jeudy,WR,DEN,7
62,T Lockett,WR,SEA,7
63,C Godwin,WR,TB,7
64,M Williams,WR,LAC,6
65,B Aiyuk,WR,SF,6
66,G Davis,WR,BUF,6
67,J Herbert,QB,LAC,6
68,J Burrow,QB,CIN,6
69,D Goedert,TE,PHI,4
70,A Kamara,RB,NO,2
71,C Akers,RB,LAR,6
72,J Dobbins,RB,BAL,6
73,B Hall,RB,NYJ,8
74,K Walker III,RB,SEA,2
75,S Perine,RB,DEN,6
76,J Smith-Njigba,WR,SEA,2
77,M Brown,WR,ARI,2
78,D Njoku,TE,CLE,2
79,G Kittle,TE,SF,2
80,A Dillon,RB,GB,2
81,A Gibson,RB,WAS,2
82,M Thomas,WR,NO,2
83,M Evans,WR,TB,2
84,Z Flowers,WR,BAL,2
85,T Burks,WR,TEN,2
86,R Doubs,WR,GB,2
87,E Moore,WR,CLE,2
88,J Smith-Schuster,WR,NE,2
89,B Cooks,WR,DAL,2
90,N Collins,WR,HOU,2
91,D Swift,RB,PHI,2
92,S Moore,WR,KC,1
93,G Pickens,WR,PIT,2
94,M Pittman,WR,IND,1
95,T Tagovailoa,QB,MIA,1
96,D Waller,TE,NYG,1
97,P Freiermuth,TE,PIT,1
98,A Richardson,QB,IND,1
99,T Lawrence,QB,JAC,1
100,D Prescott,QB,DAL,1
101,D Watson,QB,CLE,1
102,R Moore,WR,ARI,1
103,I Pacheco,RB,KC,1
104,B Robinson Jr.,RB,WAS,1
105,A Thielen,WR,CAR,1
106,R Bateman,WR,BAL,1
107,C Sutton,WR,DEN,1
108,Q Johnston,WR,LAC,1
109,D Achane,RB,MIA,1
110,K Herbert,RB,CHI,1
111,Z Charbonnet,RB,SEA,1
112,D Cook,RB,NYJ,1
113,E Elliott,RB,NE,1
114,K Toney,WR,KC,1
115,D Mooney,WR,CHI,1
116,D Jones,QB,NYG,1
117,K Cousins,QB,MIN,1
118,A Rodgers,QB,NYJ,1
119,G Smith,QB,SEA,1
120,T Higbee,TE,LAR,1
121,E Engram,TE,JAC,1
122,D Schultz,TE,HOU,1
123,R Penny,RB,PHI,1
124,D Kincaid,TE,BUF,1
125,R Wilson,QB,DEN,1
126,J Mingo,WR,CAR,1
127,E Mitchell,RB,SF,1
128,K Murray,QB,ARI,1
129,J Wilson,RB,MIA,1
130,J Warren,RB,PIT,1
131,J Williams,RB,NO,1
132,T Bigsby,RB,JAC,0
133,G Everett,TE,LAC,1
134,C Kmet,TE,CHI,1
135,G Dulcich,TE,DEN,0
136,I Smith,TE,CIN,1
137,R Mostert,RB,MIA,1
138,K Hunt,RB,FA,1
139,L Fournette,RB,FA,1
