Rank,Name,Pos,Team,Cost
1,J Jefferson,WR,MIN,37
2,J Chase,WR,CIN,36
3,C McCaffrey,RB,SF,35
4,A Ekeler,RB,LAC,33
5,B Robinson,RB,ATL,32
6,T Hill,WR,MIA,31
7,T Kelce,TE,KC,20
8,C Kupp,WR,LAR,30
9,S Diggs,WR,BUF,29
10,T Pollard,RB,DAL,28
11,S Barkley,RB,NYG,27
12,N Chubb,RB,CLE,26
13,A St. Brown,WR,DET,26
14,A Brown,WR,PHI,25
15,C Lamb,WR,DAL,24
16,G Wilson,WR,NYJ,21
17,D Adams,WR,LV,21
18,J Waddle,WR,MIA,20
19,D Henry,RB,TEN,23
20,J Jacobs,RB,LV,21
21,J Taylor,RB,IND,20
22,D Smith,WR,PHI,19
23,P Mahomes,QB,KC,12
24,J Allen,QB,BUF,11
25,J Hurts,QB,PHI,10
26,M Andrews,TE,BAL,14
27,T Higgins,WR,CIN,18
28,C Olave,WR,NO,17
29,C Ridley,WR,JAC,16
30,J Mixon,RB,CIN,16
31,J Gibbs,RB,DET,15
32,T Etienne,RB,JAC,14
33,R Stevenson,RB,NE,14
34,A Jones,RB,GB,13
35,N Harris,RB,PIT,13
36,L Jackson,QB,BAL,8
37,D Moore,WR,CHI,15
38,J Jeudy,WR,DEN,15
39,K Allen,WR,LAC,14
40,J Dobbins,RB,BAL,12
41,D Pierce,RB,HOU,11
42,M Sanders,RB,CAR,10
43,J Fields,QB,CHI,7
44,J Burrow,QB,CIN,7
45,D Hopkins,WR,TEN,12
46,D Samuel,WR,SF,11
47,C Watson,WR,GB,11
48,J Herbert,QB,LAC,6
49,D Metcalf,WR,SEA,10
50,A Cooper,WR,CLE,10
51,J Conner,RB,ARI,9
52,A Mattison,RB,MIN,9
53,D London,WR,ATL,9
54,D Johnson,WR,PIT,8
55,R White,RB,TB,7
56,K Walker III,RB,SEA,6
57,C Kirk,WR,JAC,8
58,T McLaurin,WR,WAS,7
59,C Godwin,WR,TB,7
60,D Waller,TE,NYG,8
61,J Cook,RB,BUF,6
62,A Kamara,RB,NO,5
63,B Hall,RB,NYJ,5
64,T Hockenson,TE,MIN,8
65,D Montgomery,RB,DET,4
66,C Akers,RB,LAR,4
67,K Pitts,TE,ATL,8
68,B Aiyuk,WR,SF,6
69,J Dotson,WR,WAS,6
70,T Lawrence,QB,JAC,5
71,D Goedert,TE,PHI,7
72,M Brown,WR,ARI,5
73,M Williams,WR,LAC,5
74,T Lockett,WR,SEA,5
75,G Kittle,TE,SF,6
76,J Williams,RB,DEN,4
77,K Herbert,RB,CHI,3
78,I Pacheco,RB,KC,3
79,J Addison,WR,MIN,4
80,J Smith-Njigba,WR,SEA,4
81,M Evans,WR,TB,4
82,G Davis,WR,BUF,4
83,A Gibson,RB,WAS,3
84,D Cook,RB,NYJ,3
