Rank,Name,Pos,Team,Cost
1,J Jefferson,WR,MIN,31
2,C McCaffrey,RB,SF,34
3,A Ekeler,RB,LAC,33
4,J Chase,WR,CIN,30
5,B Robinson,RB,ATL,31
6,C Kupp,WR,LAR,27
7,T Hill,WR,MIA,27
8,S Diggs,WR,BUF,24
9,T Kelce,TE,KC,24
10,S Barkley,RB,NYG,26
11,T Pollard,RB,DAL,24
12,C Lamb,WR,DAL,22
13,D Henry,RB,TEN,22
14,A St. Brown,WR,DET,19
15,A Brown,WR,PHI,19
16,N Chubb,RB,CLE,21
17,D Adams,WR,LV,18
18,G Wilson,WR,NYJ,18
19,P Mahomes,QB,KC,11
20,J Hurts,QB,PHI,11
21,J Allen,QB,BUF,11
22,J Jacobs,RB,LV,20
23,J Waddle,WR,MIA,17
24,J Taylor,RB,IND,18
25,C Olave,WR,NO,16
26,D Smith,WR,PHI,16
27,T Higgins,WR,CIN,15
28,J Mixon,RB,CIN,18
29,D Moore,WR,CHI,14
30,C Ridley,WR,JAC,13
31,N Harris,RB,PIT,17
32,M Andrews,TE,BAL,14
33,J Jeudy,WR,DEN,12
34,K Allen,WR,LAC,12
35,A Jones,RB,GB,14
36,T Etienne,RB,JAC,12
37,C Watson,WR,GB,12
38,J Burrow,QB,CIN,6
39,J Fields,QB,CHI,6
40,L Jackson,QB,BAL,6
41,D Pierce,RB,HOU,12
42,J Conner,RB,ARI,12
43,J Gibbs,RB,DET,12
44,D Hopkins,WR,TEN,11
45,R Stevenson,RB,NE,12
46,D Samuel,WR,SF,11
47,A Cooper,WR,CLE,11
48,A Mattison,RB,MIN,12
49,D Metcalf,WR,SEA,11
50,M Sanders,RB,CAR,11
51,B Hall,RB,NYJ,10
52,J Herbert,QB,LAC,6
53,R White,RB,TB,10
54,J Dobbins,RB,BAL,10
55,T Hockenson,TE,MIN,10
56,T McLaurin,WR,WAS,10
57,K Pitts,TE,ATL,8
58,J Williams,RB,DEN,9
59,J Cook,RB,BUF,8
60,D London,WR,ATL,9
61,K Walker III,RB,SEA,8
62,C Kirk,WR,JAC,8
63,A Kamara,RB,NO,7
64,M Williams,WR,LAC,8
65,B Aiyuk,WR,SF,8
66,C Godwin,WR,TB,7
67,D Montgomery,RB,DET,8
68,T Lawrence,QB,JAC,5
69,M Evans,WR,TB,7
70,T Lockett,WR,SEA,7
71,C Akers,RB,LAR,5
72,M Brown,WR,ARI,7
73,I Pacheco,RB,KC,5
74,G Pickens,WR,PIT,6
75,D Johnson,WR,PIT,6
76,M Pittman,WR,IND,6
77,J Addison,WR,MIN,6
78,D Waller,TE,NYG,7
79,J Dotson,WR,WAS,6
80,A Dillon,RB,GB,5
81,G Davis,WR,BUF,5
82,G Kittle,TE,SF,4
83,D Swift,RB,PHI,5
84,M Thomas,WR,NO,4
85,K Herbert,RB,CHI,4
86,D Goedert,TE,PHI,4
87,B Robinson Jr.,RB,WAS,4
88,S Perine,RB,DEN,4
89,Z Charbonnet,RB,SEA,4
90,J Smith-Schuster,WR,NE,4
91,Z Flowers,WR,BAL,3
92,J Smith-Njigba,WR,SEA,3
93,D Watson,QB,CLE,3
94,S Moore,WR,KC,3
95,R Penny,RB,PHI,3
96,T Tagovailoa,QB,MIA,3
97,A Richardson,QB,IND,2
98,D Cook,RB,NYJ,3
99,B Cooks,WR,DAL,3
100,N Collins,WR,HOU,3
101,A Gibson,RB,WAS,3
102,E Engram,TE,JAC,3
103,P Freiermuth,TE,PIT,1
104,T Burks,WR,TEN,2
105,D Prescott,QB,DAL,2
106,R Doubs,WR,GB,2
107,E Moore,WR,CLE,2
108,C Sutton,WR,DEN,2
109,Q Johnston,WR,LAC,2
110,J Williams,RB,NO,2
111,T Bigsby,RB,JAC,2
112,R Johnson,RB,CHI,1
113,D Schultz,TE,HOU,1
114,J Williams,WR,DET,2
115,R Moore,WR,ARI,2
116,R Bateman,WR,BAL,2
117,D Njoku,TE,CLE,1
118,K Toney,WR,KC,1
119,J Meyers,WR,LV,2
120,D Harris,RB,BUF,1
121,D Chark,WR,CAR,1
122,G Dulcich,TE,DEN,1
123,D Achane,RB,MIA,1
124,K Cousins,QB,MIN,1
125,D Kincaid,TE,BUF,1
126,S LaPorta,TE,DET,1
127,J Wilson,RB,MIA,1
128,A Thielen,WR,CAR,1
129,E Mitchell,RB,SF,1
130,D Singletary,RB,HOU,1
131,T Chandler,RB,MIN,1
132,Z White,RB,LV,1
133,Z Ertz,TE,ARI,0
134,I Hodgins,WR,NYG,1
135,K Gainwell,RB,PHI,1
136,O Beckham Jr.,WR,BAL,1
137,G Smith,QB,SEA,1
138,J Metchie III,WR,HOU,1
139,A Rodgers,QB,NYJ,1
140,C Kmet,TE,CHI,0
141,D Jones,QB,NYG,1
142,G Edwards,RB,BAL,0
143,T Higbee,TE,LAR,0
144,T Allgeier,RB,ATL,0
145,D Foreman,RB,CHI,0
146,J Warren,RB,PIT,0
147,J McKinnon,RB,KC,0
148,J Goff,QB,DET,1
149,J Johnson,TE,NO,0
150,J Ford,RB,CLE,0
151,T Boyd,WR,CIN,1
152,A Lazard,WR,NYJ,0
153,J Mingo,WR,CAR,0
154,R Wilson,QB,DEN,1
155,N Dell,WR,HOU,0
156,R Mostert,RB,MIA,0
157,D Vaughn,RB,DAL,1
158,V Jefferson,WR,LAR,0
159,M Stafford,QB,LAR,1
160,J Ross,WR,KC,0
161,T Hill,TE,NO,0
162,M Wilson,WR,ARI,0
163,M Gallup,WR,DAL,0
164,D Jackson,RB,IND,0
165,Z Jones,WR,JAC,0
166,P Campbell,WR,NYG,0
167,C Okonkwo,TE,TEN,0
168,A Pierce,WR,IND,0
169,K Miller,RB,NO,0
170,M Davis,RB,DAL,0
171,I Abanikanda,RB,NYJ,0
172,K Philips,WR,TEN,0
173,T Conklin,TE,NYJ,0
174,G Everett,TE,LAC,0
175,H Henry,TE,NE,0
176,P Nacua,WR,LAR,0
177,C Patterson,RB,ATL,0
178,S Tucker,RB,TB,0
179,K Murray,QB,ARI,0
180,J Ferguson,TE,DAL,0
181,C Samuel,WR,WAS,0
182,K Osborn,WR,MIN,0
183,R James,WR,KC,0
184,D Carr,QB,NO,0
185,J Love,QB,GB,0
186,T Marshall Jr.,WR,CAR,0
187,R Rice,WR,KC,0
188,C Brown,RB,CIN,0
189,H Hurst,TE,CAR,0
190,D Knox,TE,BUF,0
191,L Musgrave,TE,GB,0
192,J Hyatt,WR,NYG,0
193,L Thomas,TE,WAS,0
194,P Strong Jr.,RB,NE,0
195,J Mason,RB,SF,0
196,M Gesicki,TE,NE,0
197,C Edwards-Helaire,RB,KC,0
198,B Purdy,QB,SF,0
199,S Shepard,WR,NYG,0
200,D Slayton,WR,NYG,0
