Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,29.5
81,David Montgomery,RB,DET,2.0
161,Gus Edwards,RB,BAL,0.0
241,Deuce Vaughn,RB,DAL,0.0
2,Austin Ekeler,RB,LAC,29.0
82,Khalil Herbert,RB,CHI,2.0
162,Elijah Mitchell,RB,SF,0.0
242,Ke'Shawn Vaughn,RB,TB,0.0
3,Ja'Marr Chase,WR,CIN,29.0
83,Brandin Cooks,WR,DAL,2.0
163,Damien Harris,RB,BUF,0.0
243,Ryan Tannehill,QB,TEN,0.0
4,Christian McCaffrey,RB,SF,28.5
84,Michael Thomas,WR,NO,2.0
164,Ezekiel Elliott,RB,NE,0.0
244,Bryce Young,QB,CAR,0.0
5,Travis Kelce,TE,KC,28.5
85,Courtland Sutton,WR,DEN,2.0
165,Jaylen Warren,RB,PIT,0.0
245,Jordan Love,QB,GB,0.0
6,Cooper Kupp,WR,LAR,27.5
86,Jahan Dotson,WR,WAS,2.0
166,Allen Lazard,WR,NYJ,0.0
246,Juwan Johnson,TE,NO,0.0
7,Bijan Robinson,RB,ATL,26.5
87,Jaxon Smith-Njigba,WR,SEA,1.5
167,Zay Jones,WR,JAC,0.0
247,Logan Thomas,TE,WAS,0.0
8,Tyreek Hill,WR,MIA,25.5
88,Pat Freiermuth,TE,PIT,1.5
168,Chase Claypool,WR,CHI,0.0
248,Irv Smith Jr.,TE,CIN,0.0
9,Saquon Barkley,RB,NYG,24.5
89,Evan Engram,TE,JAC,1.5
169,Jayden Reed,WR,GB,0.0
249,Hunter Henry,TE,NE,0.0
10,Derrick Henry,RB,TEN,24.0
90,David Njoku,TE,CLE,1.5
170,Romeo Doubs,WR,GB,0.0
250,Tony Jones Jr.,RB,DEN,0.0
11,Davante Adams,WR,LV,23.0
91,D'Andre Swift,RB,PHI,1.5
171,Jonathan Mingo,WR,CAR,0.0
251,Allen Robinson II,WR,PIT,0.0
12,Tony Pollard,RB,DAL,22.0
92,J.K. Dobbins,RB,BAL,1.5
172,Kenny Pickett,QB,PIT,0.0
252,Braxton Berrios,WR,MIA,0.0
13,Stefon Diggs,WR,BUF,21.5
93,Dak Prescott,QB,DAL,1.5
173,Kyler Murray,QB,ARI,0.0
253,Washington Commanders,DST,WAS,0.0
14,CeeDee Lamb,WR,DAL,21.0
94,Kirk Cousins,QB,MIN,1.5
174,Tyler Allgeier,RB,ATL,0.0
254,Tennessee Titans,DST,TEN,0.0
15,Garrett Wilson,WR,NYJ,20.5
95,Daniel Jones,QB,NYG,1.5
175,D'Onta Foreman,RB,CHI,0.0
255,Brandon McManus,K,JAC,0.0
16,Amon-Ra St. Brown,WR,DET,20.0
96,Jakobi Meyers,WR,LV,1.0
176,Roschon Johnson,RB,CHI,0.0
256,Jake Moody,K,SF,0.0
17,A.J. Brown,WR,PHI,19.0
97,Skyy Moore,WR,KC,1.0
177,Hunter Renfrow,WR,LV,0.0
257,Hayden Hurst,TE,CAR,0.0
18,Nick Chubb,RB,CLE,18.5
98,Jordan Addison,WR,MIN,1.0
178,Rashod Bateman,WR,BAL,0.0
258,Cade Otton,TE,TB,0.0
19,Josh Jacobs,RB,LV,18.0
99,JuJu Smith-Schuster,WR,NE,1.0
179,Van Jefferson,WR,LAR,0.0
259,Dawson Knox,TE,BUF,0.0
20,Jonathan Taylor,RB,IND,17.5
100,AJ Dillon,RB,GB,1.0
180,Curtis Samuel,WR,WAS,0.0
260,Tyquan Thornton,WR,NE,0.0
21,Jaylen Waddle,WR,MIA,17.0
101,Brian Robinson Jr.,RB,WAS,1.0
181,Jameson Williams,WR,DET,0.0
261,Nathaniel Dell,WR,HOU,0.0
22,DK Metcalf,WR,SEA,16.5
102,Antonio Gibson,RB,WAS,1.0
182,Rashee Rice,WR,KC,0.0
262,Darius Slayton,WR,NYG,0.0
23,Tee Higgins,WR,CIN,16.0
103,Cole Kmet,TE,CHI,1.0
183,Isaiah Hodgins,WR,NYG,0.0
263,Terrace Marshall Jr.,WR,CAR,0.0
24,DeVonta Smith,WR,PHI,16.0
104,Dalton Schultz,TE,HOU,1.0
184,Kyren Williams,RB,LAR,0.0
264,Craig Reynolds,RB,DET,0.0
25,Chris Olave,WR,NO,15.5
105,Odell Beckham Jr.,WR,BAL,1.0
185,Jelani Woods,TE,IND,0.0
265,Ty Montgomery,RB,NE,0.0
26,Patrick Mahomes II,QB,KC,15.0
106,Rondale Moore,WR,ARI,1.0
186,Tyler Conklin,TE,NYJ,0.0
266,Brock Purdy,QB,SF,0.0
27,Josh Allen,QB,BUF,15.0
107,Gabe Davis,WR,BUF,1.0
187,Zach Ertz,TE,ARI,0.0
267,C.J. Stroud,QB,HOU,0.0
28,Jalen Hurts,QB,PHI,14.5
108,Zay Flowers,WR,BAL,1.0
188,Sam LaPorta,TE,DET,0.0
268,Mac Jones,QB,NE,0.0
29,Joe Mixon,RB,CIN,14.0
109,Quentin Johnston,WR,LAC,1.0
189,Carolina Panthers,DST,CAR,0.0
269,Sam Howell,QB,WAS,0.0
30,Travis Etienne Jr.,RB,JAC,13.0
110,Jamaal Williams,RB,NO,1.0
190,Tampa Bay Buccaneers,DST,TB,0.0
270,Desmond Ridder,QB,ATL,0.0
31,Najee Harris,RB,PIT,13.0
111,Samaje Perine,RB,DEN,1.0
191,Greg Zuerlein,K,NYJ,0.0
271,Nick Westbrook-Ikhine,WR,TEN,0.0
32,Aaron Jones,RB,GB,12.5
112,Jeff Wilson Jr.,RB,MIA,1.0
192,Jake Elliott,K,PHI,0.0
272,Sterling Shepard,WR,NYG,0.0
33,Jahmyr Gibbs,RB,DET,12.0
113,Rashaad Penny,RB,PHI,1.0
193,Tank Bigsby,RB,JAC,0.0
273,Jauan Jennings,WR,SF,0.0
34,Rhamondre Stevenson,RB,NE,11.5
114,Jerick McKinnon,RB,KC,1.0
194,Tyjae Spears,RB,TEN,0.0
274,Josh Downs,WR,IND,0.0
35,Dameon Pierce,RB,HOU,11.0
115,Zach Charbonnet,RB,SEA,1.0
195,Chuba Hubbard,RB,CAR,0.0
275,Joshua Palmer,WR,LAC,0.0
36,Deebo Samuel,WR,SF,11.0
116,DJ Chark Jr.,WR,CAR,1.0
196,De'Von Achane,RB,MIA,0.0
276,Hassan Haskins,RB,TEN,0.0
37,Keenan Allen,WR,LAC,11.0
117,Darnell Mooney,WR,CHI,1.0
197,Robert Woods,WR,HOU,0.0
277,Travis Homer,RB,CHI,0.0
38,Jerry Jeudy,WR,DEN,10.5
118,Elijah Moore,WR,CLE,1.0
198,Russell Gage,WR,TB,0.0
278,Gary Brightwell,RB,NYG,0.0
39,Amari Cooper,WR,CLE,10.5
119,Tua Tagovailoa,QB,MIA,1.0
199,Joshua Kelley,RB,LAC,0.0
279,Chris Rodriguez Jr.,RB,WAS,0.0
40,Mark Andrews,TE,BAL,10.0
120,Aaron Rodgers,QB,NYJ,1.0
200,Jerome Ford,RB,CLE,0.0
280,Zack Moss,RB,IND,0.0
41,Lamar Jackson,QB,BAL,9.5
121,Geno Smith,QB,SEA,0.5
201,Clyde Edwards-Helaire,RB,KC,0.0
281,Dare Ogunbowale,RB,HOU,0.0
42,Joe Burrow,QB,CIN,9.5
122,Russell Wilson,QB,DEN,0.5
202,Cordarrelle Patterson,RB,ATL,0.0
282,Brandon Bolden,RB,LV,0.0
43,Rachaad White,RB,TB,9.0
123,Anthony Richardson,QB,IND,0.5
203,Kendre Miller,RB,NO,0.0
283,Latavius Murray,RB,BUF,0.0
44,Alvin Kamara,RB,NO,8.5
124,Michael Gallup,WR,DAL,0.5
204,Chase Edmonds,RB,TB,0.0
284,Jamal Agnew,WR,JAC,0.0
45,Christian Watson,WR,GB,8.5
125,Adam Thielen,WR,CAR,0.5
205,Alec Pierce,WR,IND,0.0
285,Seattle Seahawks,DST,SEA,0.0
46,Calvin Ridley,WR,JAC,7.5
126,Raheem Mostert,RB,MIA,0.5
206,Keaontay Ingram,RB,ARI,0.0
286,Philadelphia Eagles,DST,PHI,0.0
47,Miles Sanders,RB,CAR,7.5
127,Kenneth Gainwell,RB,PHI,0.5
207,Chase Brown,RB,CIN,0.0
287,Cameron Dicker,K,LAC,0.0
48,James Conner,RB,ARI,7.0
128,Devin Singletary,RB,HOU,0.5
208,Ronald Jones II,RB,DAL,0.0
288,Greg Joseph,K,MIN,0.0
49,T.J. Hockenson,TE,MIN,6.5
129,Tyler Higbee,TE,LAR,0.5
209,Ty Chandler,RB,MIN,0.0
289,Trey McBride,TE,ARI,0.0
50,DeAndre Hopkins,WR,TEN,6.5
130,Greg Dulcich,TE,DEN,0.5
210,Malik Davis,RB,DAL,0.0
290,Noah Fant,TE,SEA,0.0
51,Chris Godwin,WR,TB,6.0
131,Tyler Boyd,WR,CIN,0.5
211,Ameer Abdullah,RB,LV,0.0
291,Michael Mayer,TE,LV,0.0
52,Diontae Johnson,WR,PIT,5.5
132,K.J. Osborn,WR,MIN,0.5
212,Matt Breida,RB,NYG,0.0
292,Jake Ferguson,TE,DAL,0.0
53,DJ Moore,WR,CHI,5.5
133,Nico Collins,WR,HOU,0.5
213,Kenyan Drake,RB,IND,0.0
293,Austin Hooper,TE,LV,0.0
54,Mike Evans,WR,TB,5.0
134,Kadarius Toney,WR,KC,0.5
214,Mike Gesicki,TE,NE,0.0
294,Trent Sherfield,WR,BUF,0.0
55,Terry McLaurin,WR,WAS,5.0
135,Marquez Valdes-Scantling,WR,KC,0.5
215,Jared Goff,QB,DET,0.0
295,Quez Watkins,WR,PHI,0.0
56,Mike Williams,WR,LAC,5.0
136,Parris Campbell,WR,NYG,0.5
216,DeVante Parker,WR,NE,0.0
296,Baker Mayfield,QB,TB,0.0
57,Marquise Brown,WR,ARI,5.0
137,Dalton Kincaid,TE,BUF,0.5
217,Donovan Peoples-Jones,WR,CLE,0.0
297,Atlanta Falcons,DST,ATL,0.0
58,Darren Waller,TE,NYG,4.5
138,Chigoziem Okonkwo,TE,TEN,0.5
218,Marvin Jones Jr.,WR,DET,0.0
298,Kansas City Chiefs,DST,KC,0.0
59,Breece Hall,RB,NYJ,4.5
139,Matthew Stafford,QB,LAR,0.5
219,Derek Carr,QB,NO,0.0
299,Denver Broncos,DST,DEN,0.0
60,Kenneth Walker III,RB,SEA,4.5
140,Gerald Everett,TE,LAC,0.5
220,Jimmy Garoppolo,QB,LV,0.0
300,Houston Texans,DST,HOU,0.0
61,Alexander Mattison,RB,MIN,4.0
141,San Francisco 49ers,DST,SF,0.5
221,Cincinnati Bengals,DST,CIN,0.0
62,James Cook,RB,BUF,4.0
