Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,Dumb,-1
2,Christian McCaffrey,RB,Dumb,-1
3,Austin Ekeler,RB,Dumb,-1
4,Ja'Marr Chase,WR,Dumb,-1
5,Saquon Barkley,RB,Dumb,-1
6,Jonathan Taylor,RB,Dumb,-1
7,Bijan Robinson,RB,Dumb,-1
8,Travis Kelce,TE,Dumb,-1
9,Cooper Kupp,WR,Dumb,-1
10,Josh Jacobs,RB,Dumb,-1
11,Derrick Henry,RB,Dumb,-1
12,Tyreek Hill,WR,Dumb,-1
13,Stefon Diggs,WR,Dumb,-1
14,Tony Pollard,RB,Dumb,-1
15,Nick Chubb,RB,Dumb,-1
16,Davante Adams,WR,Dumb,-1
17,Travis Etienne Jr.,RB,Dumb,-1
18,CeeDee Lamb,WR,Dumb,-1
19,Garrett Wilson,WR,Dumb,-1
20,Mark Andrews,TE,Dumb,-1
21,Joe Mixon,RB,Dumb,-1
22,Amon-Ra St. Brown,WR,Dumb,-1
23,Rhamondre Stevenson,RB,Dumb,-1
24,Aaron Jones,RB,Dumb,-1
25,Najee Harris,RB,Dumb,-1
26,T.J. Hockenson,TE,Dumb,-1
27,A.J. Brown,WR,Dumb,-1
28,Kenneth Walker III,RB,Dumb,-1
29,Jaylen Waddle,WR,Dumb,-1
30,Patrick Mahomes II,QB,Dumb,-1
31,Jahmyr Gibbs,RB,Dumb,-1
32,Tee Higgins,WR,Dumb,-1
33,Breece Hall,RB,Dumb,-1
34,Dameon Pierce,RB,Dumb,-1
35,DeVonta Smith,WR,Dumb,-1
36,DK Metcalf,WR,Dumb,-1
37,Rachaad White,RB,Dumb,-1
38,Josh Allen,QB,Dumb,-1
39,Chris Olave,WR,Dumb,-1
40,Keenan Allen,WR,Dumb,-1
41,Deebo Samuel,WR,Dumb,-1
42,Jalen Hurts,QB,Dumb,-1
43,Amari Cooper,WR,Dumb,-1
44,Darren Waller,TE,Dumb,-1
45,DeAndre Hopkins,WR,Dumb,-1
46,Miles Sanders,RB,Dumb,-1
47,Calvin Ridley,WR,Dumb,-1
48,Kyle Pitts,TE,Dumb,-1
49,Chris Godwin,WR,Dumb,-1
50,DJ Moore,WR,Dumb,-1
51,James Conner,RB,Dumb,-1
52,Alexander Mattison,RB,Dumb,-1
53,Jerry Jeudy,WR,Dumb,-1
54,Cam Akers,RB,Dumb,-1
55,Christian Watson,WR,Dumb,-1
56,Lamar Jackson,QB,Dumb,-1
57,Drake London,WR,Dumb,-1
58,George Kittle,TE,Dumb,-1
59,Joe Burrow,QB,Dumb,-1
60,Javonte Williams,RB,Dumb,-1
61,J.K. Dobbins,RB,Dumb,-1
62,Dalvin Cook,RB,Dumb,-1
