https://www.espn.com/fantasy/football/story/_/id/36135778/fantasy-football-ppr-rankings-2023-quarterback-running-back-wide-receiver-tight-end-top-200
1. Justin Jefferson, WR, Vikings, WR1
2. Christian McCaffrey, RB, 49ers, RB1
3. Austin Ekeler, RB, Chargers, RB2
4. Ja'Marr Chase, WR, Bengals, WR2
5. Saquon Barkley, RB, Giants, RB3
6. Jonathan Taylor, RB, Colts, RB4
7. Bijan Robinson, RB, Falcons, RB5
8. Travis Kelce, TE, Chiefs, TE1
9. Cooper Kupp, WR, Rams, WR3
10. Josh Jacobs, RB, Raiders, RB6
11. Derrick Henry, RB, Titans, RB7
12. Tyreek Hill, WR, Dolphins, WR4
13. Stefon Diggs, WR, Bills, WR5
14. Tony Pollard, RB, Cowboys, RB8
15. Nick Chubb, RB, Browns, RB9
16. Davante Adams, WR, Raiders, WR6
17. Travis Etienne Jr., RB, Jaguars, RB10
18. CeeDee Lamb, WR, Cowboys, WR7
19. Garrett Wilson, WR, Jets, WR8
20. Mark Andrews, TE, Ravens, TE2
21. Joe Mixon, RB, Bengals, RB11
22. Amon-Ra St. Brown, WR, Lions, WR9
23. Rhamondre Stevenson, RB, Patriots, RB12
24. Aaron Jones, RB, Packers, RB13
25. Najee Harris, RB, Steelers, RB14
26. T.J. Hockenson, TE, Vikings, TE3
27. A.J. Brown, WR, Eagles, WR10
28. Kenneth Walker III, RB, Seahawks, RB15
29. Jaylen Waddle, WR, Dolphins, WR11
30. Patrick Mahomes, QB, Chiefs, QB1
31. Jahmyr Gibbs, RB, Lions, RB16
32. Tee Higgins, WR, Bengals, WR12
33. Breece Hall, RB, Jets, RB17
34. Dameon Pierce, RB, Texans, RB18
35. DeVonta Smith, WR, Eagles, WR13
36. DK Metcalf, WR, Seahawks, WR14
37. Rachaad White, RB, Buccaneers, RB19
38. Josh Allen, QB, Bills, QB2
39. Chris Olave, WR, Saints, WR15
40. Keenan Allen, WR, Chargers, WR16
41. Deebo Samuel, WR, 49ers, WR17
42. Jalen Hurts, QB, Eagles, QB3
43. Amari Cooper, WR, Browns, WR18
44. Darren Waller, TE, Giants, TE4
45. DeAndre Hopkins, WR, Titans, WR19
46. Miles Sanders, RB, Panthers, RB20
47. Calvin Ridley, WR, Jaguars, WR20
48. Kyle Pitts, TE, Falcons, TE5
49. Chris Godwin, WR, Buccaneers, WR21
50. DJ Moore, WR, Bears, WR22
51. James Conner, RB, Cardinals, RB21
52. Alexander Mattison, RB, Vikings, RB22
53. Jerry Jeudy, WR, Broncos, WR23
54. Cam Akers, RB, Rams, RB23
55. Christian Watson, WR, Packers, WR24
56. Lamar Jackson, QB, Ravens, QB4
57. Drake London, WR, Falcons, WR25
58. George Kittle, TE, 49ers, TE6
59. Joe Burrow, QB, Bengals, QB5
60. Javonte Williams, RB, Broncos, RB24
61. J.K. Dobbins, RB, Ravens, RB25
62. Dalvin Cook, RB, Jets, RB26
63. Isiah Pacheco, RB, Chiefs, RB27
64. Dallas Goedert, TE, Eagles, TE7
65. D'Andre Swift, RB, Eagles, RB28
66. Terry McLaurin, WR, Commanders, WR26
67. Justin Fields, QB, Bears, QB6
68. Diontae Johnson, WR, Steelers, WR27
69. Michael Pittman Jr., WR, Colts, WR28
70. David Montgomery, RB, Lions, RB29
