Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Ja'Marr Chase,WR,CIN,-1
3,Bijan Robinson,RB,ATL,-1
4,CeeDee Lamb,WR,DAL,-1
5,Breece Hall,RB,NYJ,-1
6,Jonathan Taylor,RB,IND,-1
7,A.J. Brown,WR,PHI,-1
8,Garrett Wilson,WR,NYJ,-1
9,Jaylen Waddle,WR,MIA,-1
10,Christian McCaffrey,RB,SF,-1
11,Saquon Barkley,RB,NYG,-1
12,Jahmyr Gibbs,RB,DET,-1
13,Amon-Ra St. Brown,WR,DET,-1
14,Travis Etienne Jr.,RB,JAX,-1
15,Chris Olave,WR,NO,-1
16,Tee Higgins,WR,CIN,-1
17,Josh Jacobs,RB,LV,-1
18,DeVonta Smith,WR,PHI,-1
19,Kenneth Walker III,RB,SEA,-1
20,Drake London,WR,ATL,-1
21,Kyle Pitts,TE,ATL,-1
22,DK Metcalf,WR,SEA,-1
23,Tyreek Hill,WR,MIA,-1
24,Travis Kelce,TE,KC,-1
25,Cooper Kupp,WR,LAR,-1
26,Mark Andrews,TE,BAL,-1
27,Tony Pollard,RB,DAL,-1
28,Stefon Diggs,WR,BUF,-1
29,Najee Harris,RB,PIT,-1
30,Patrick Mahomes,QB,KC,-1
31,Davante Adams,WR,LV,-1
32,Austin Ekeler,RB,LAC,-1
33,Jaxon Smith-Njigba,WR,SEA,-1
34,DJ Moore,WR,CHI,-1
35,Rachaad White,RB,TB,-1
36,Nick Chubb,RB,CLE,-1
37,Javonte Williams,RB,DEN,-1
38,Christian Watson,WR,GB,-1
39,Chris Godwin,WR,TB,-1
40,Jalen Hurts,QB,PHI,-1
41,Josh Allen,QB,BUF,-1
42,Rhamondre Stevenson,RB,NE,-1
43,Joe Burrow,QB,CIN,-1
44,Dameon Pierce,RB,HOU,-1
45,Michael Pittman Jr.,WR,IND,-1
46,J.K. Dobbins,RB,BAL,-1
47,Brandon Aiyuk,WR,SF,-1
48,Quentin Johnston,WR,LAC,-1
49,Deebo Samuel,WR,SF,-1
50,Jordan Addison,WR,MIN,-1
51,Terry McLaurin,WR,WSH,-1
52,Treylon Burks,WR,TEN,-1
53,Zay Flowers,WR,BAL,-1
54,Jahan Dotson,WR,WSH,-1
