Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Cooper Kupp,WR,LAR,-1
3,Austin Ekeler,RB,LAC,-1
4,Tyreek Hill,WR,MIA,-1
5,Christian McCaffrey,RB,SF,-1
6,Bijan Robinson,RB,ATL,-1
7,Ja'Marr Chase,WR,CIN,-1
8,Davante Adams,WR,LV,-1
9,Travis Kelce,TE,KC,-1
10,Saquon Barkley,RB,NYG,-1
11,Derrick Henry,RB,TEN,-1
12,Josh Jacobs,RB,LV,-1
13,Nick Chubb,RB,CLE,-1
14,Stefon Diggs,WR,BUF,-1
15,CeeDee Lamb,WR,DAL,-1
16,Amon-Ra St. Brown,WR,DET,-1
17,A.J. Brown,WR,PHI,-1
18,Tony Pollard,RB,DAL,-1
19,Jonathan Taylor,RB,IND,-1
20,Rhamondre Stevenson,RB,NE,-1
21,Garrett Wilson,WR,NYJ,-1
22,Jaylen Waddle,WR,MIA,-1
23,Travis Etienne Jr.,RB,JAX,-1
24,Chris Olave,WR,NO,-1
25,Joe Mixon,RB,CIN,-1
26,DeVonta Smith,WR,PHI,-1
27,Josh Allen,QB,BUF,-1
28,Patrick Mahomes,QB,KC,-1
29,Jalen Hurts,QB,PHI,-1
30,Aaron Jones,RB,GB,-1
31,DK Metcalf,WR,SEA,-1
32,Mark Andrews,TE,BAL,-1
33,Tee Higgins,WR,CIN,-1
34,Najee Harris,RB,PIT,-1
35,James Conner,RB,ARI,-1
36,Keenan Allen,WR,LAC,-1
37,Deebo Samuel,WR,SF,-1
38,Lamar Jackson,QB,BAL,-1
39,Kenneth Walker III,RB,SEA,-1
40,Breece Hall,RB,NYJ,-1
41,Jahmyr Gibbs,RB,DET,-1
42,Jerry Jeudy,WR,DEN,-1
43,Diontae Johnson,WR,PIT,-1
44,Alexander Mattison,RB,MIN,-1
45,T.J. Hockenson,TE,MIN,-1
46,Joe Burrow,QB,CIN,-1
47,Miles Sanders,RB,CAR,-1
48,Rachaad White,RB,TB,-1
49,Chris Godwin,WR,TB,-1
50,Darren Waller,TE,NYG,-1
51,Calvin Ridley,WR,JAX,-1
52,Alvin Kamara,RB,NO,-1
53,Terry McLaurin,WR,WSH,-1
54,Amari Cooper,WR,CLE,-1
55,George Kittle,TE,SF,-1
56,Justin Fields,QB,CHI,-1
57,Dameon Pierce,RB,HOU,-1
58,DeAndre Hopkins,WR,TEN,-1
59,Christian Watson,WR,GB,-1
60,David Montgomery,RB,DET,-1
61,Justin Herbert,QB,LAC,-1
62,Trevor Lawrence,QB,JAX,-1
63,Deshaun Watson,QB,CLE,-1
64,Tyler Lockett,WR,SEA,-1
65,DJ Moore,WR,CHI,-1
66,Drake London,WR,ATL,-1
67,Mike Evans,WR,TB,-1
68,J.K. Dobbins,RB,BAL,-1
69,Mike Williams,WR,LAC,-1
70,Isiah Pacheco,RB,KC,-1
71,Dallas Goedert,TE,PHI,-1
72,Kyle Pitts,TE,ATL,-1
73,D'Andre Swift,RB,PHI,-1
74,Michael Pittman Jr.,WR,IND,-1
75,Cam Akers,RB,LAR,-1
76,Daniel Jones,QB,NYG,-1
77,Evan Engram,TE,JAX,-1
78,Tua Tagovailoa,QB,MIA,-1
79,Aaron Rodgers,QB,NYJ,-1
80,Kirk Cousins,QB,MIN,-1
81,Marquise Brown,WR,ARI,-1
82,Christian Kirk,WR,JAX,-1
83,Brandon Aiyuk,WR,SF,-1
84,Jordan Addison,WR,MIN,-1
85,Javonte Williams,RB,DEN,-1
86,James Cook,RB,BUF,-1
87,Pat Freiermuth,TE,PIT,-1
88,David Njoku,TE,CLE,-1
89,Brandin Cooks,WR,DAL,-1
90,George Pickens,WR,PIT,-1
91,Dalvin Cook,RB,FA,-1
92,AJ Dillon,RB,GB,-1
93,Tyler Higbee,TE,LAR,-1
94,Dalton Schultz,TE,HOU,-1
95,Geno Smith,QB,SEA,-1
96,Dak Prescott,QB,DAL,-1
97,Gabe Davis,WR,BUF,-1
98,Jakobi Meyers,WR,LV,-1
99,Antonio Gibson,RB,WSH,-1
100,Brian Robinson Jr.,RB,WSH,-1
101,Jeff Wilson Jr.,RB,MIA,-1
102,Rashaad Penny,RB,PHI,-1
103,Jahan Dotson,WR,WSH,-1
104,Odell Beckham Jr.,WR,BAL,-1
105,Treylon Burks,WR,TEN,-1
106,Anthony Richardson,QB,IND,-1
107,Russell Wilson,QB,DEN,-1
108,Samaje Perine,RB,DEN,-1
109,Jamaal Williams,RB,NO,-1
110,Raheem Mostert,RB,MIA,-1
111,Allen Lazard,WR,NYJ,-1
112,Courtland Sutton,WR,DEN,-1
113,Cole Kmet,TE,CHI,-1
114,Gerald Everett,TE,LAC,-1
115,Zach Charbonnet,RB,SEA,-1
116,Khalil Herbert,RB,CHI,-1
117,Skyy Moore,WR,KC,-1
118,JuJu Smith-Schuster,WR,NE,-1
119,Michael Thomas,WR,NO,-1
120,Kadarius Toney,WR,KC,-1
121,Greg Dulcich,TE,DEN,-1
122,Dalton Kincaid,TE,BUF,-1
123,Jared Goff,QB,DET,-1
124,Kenny Pickett,QB,PIT,-1
125,Zay Flowers,WR,BAL,-1
126,Damien Harris,RB,BUF,-1
127,Jerick McKinnon,RB,KC,-1
128,Devin Singletary,RB,HOU,-1
129,Elijah Mitchell,RB,SF,-1
130,DJ Chark Jr.,WR,CAR,-1
131,Jaxon Smith-Njigba,WR,SEA,-1
132,Hunter Henry,TE,NE,-1
133,Tyler Allgeier,RB,ATL,-1
134,Adam Thielen,WR,CAR,-1
135,Zay Jones,WR,JAX,-1
136,Elijah Moore,WR,CLE,-1
137,Hayden Hurst,TE,CAR,-1
138,Juwan Johnson,TE,NO,-1
139,Rondale Moore,WR,ARI,-1
140,Quentin Johnston,WR,LAC,-1
141,Chuba Hubbard,RB,CAR,-1
142,D'Onta Foreman,RB,CHI,-1
143,De'Von Achane,RB,MIA,-1
144,Chigoziem Okonkwo,TE,TEN,-1
145,Dawson Knox,TE,BUF,-1
146,Mike Gesicki,TE,NE,-1
147,Michael Gallup,WR,DAL,-1
148,Tyquan Thornton,WR,NE,-1
149,Marquez Valdes-Scantling,WR,KC,-1
150,Matthew Stafford,QB,LAR,-1
