Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Christian McCaffrey,RB,SF,-1
3,Ja'Marr Chase,WR,CIN,-1
4,Travis Kelce,TE,KC,-1
5,Nick Chubb,RB,CLE,-1
6,Tyreek Hill,WR,MIA,-1
7,Austin Ekeler,RB,LAC,-1
8,Bijan Robinson,RB,ATL,-1
9,Cooper Kupp,WR,LAR,-1
10,Derrick Henry,RB,TEN,-1
11,Stefon Diggs,WR,BUF,-1
12,A.J. Brown,WR,PHI,-1
13,CeeDee Lamb,WR,DAL,-1
14,Jonathan Taylor,RB,IND,-1
15,Saquon Barkley,RB,NYG,-1
16,Tony Pollard,RB,DAL,-1
17,Davante Adams,WR,LV,-1
18,Amon-Ra St. Brown,WR,DET,-1
19,Garrett Wilson,WR,NYJ,-1
20,Josh Jacobs,RB,LV,-1
21,Jaylen Waddle,WR,MIA,-1
22,Patrick Mahomes II,QB,KC,-1
23,Chris Olave,WR,NO,-1
24,Josh Allen,QB,BUF,-1
25,Jalen Hurts,QB,PHI,-1
26,Tee Higgins,WR,CIN,-1
27,Rhamondre Stevenson,RB,NE,-1
28,Najee Harris,RB,PIT,-1
29,Amari Cooper,WR,CLE,-1
30,Travis Etienne Jr.,RB,JAC,-1
31,Joe Mixon,RB,CIN,-1
32,DeVonta Smith,WR,PHI,-1
33,Deebo Samuel,WR,SF,-1
34,DK Metcalf,WR,SEA,-1
35,Breece Hall,RB,NYJ,-1
36,Mark Andrews,TE,BAL,-1
37,Lamar Jackson,QB,BAL,-1
38,Aaron Jones,RB,GB,-1
39,Joe Burrow,QB,CIN,-1
40,Kenneth Walker III,RB,SEA,-1
41,Calvin Ridley,WR,JAC,-1
42,Jahmyr Gibbs,RB,DET,-1
43,Justin Fields,QB,CHI,-1
44,DJ Moore,WR,CHI,-1
45,Miles Sanders,RB,CAR,-1
46,Justin Herbert,QB,LAC,-1
47,Keenan Allen,WR,LAC,-1
48,Jerry Jeudy,WR,DEN,-1
49,Christian Watson,WR,GB,-1
50,J.K. Dobbins,RB,BAL,-1
51,Terry McLaurin,WR,WAS,-1
52,Cam Akers,RB,LAR,-1
53,DeAndre Hopkins,WR,TEN,-1
54,Alexander Mattison,RB,MIN,-1
55,Dameon Pierce,RB,HOU,-1
56,Brandon Aiyuk,WR,SF,-1
57,Drake London,WR,ATL,-1
58,Mike Williams,WR,LAC,-1
59,James Conner,RB,ARI,-1
60,Trevor Lawrence,QB,JAC,-1
61,T.J. Hockenson,TE,MIN,-1
62,Tyler Lockett,WR,SEA,-1
63,Christian Kirk,WR,JAC,-1
64,David Montgomery,RB,DET,-1
65,Mike Evans,WR,TB,-1
66,Isiah Pacheco,RB,KC,-1
67,Chris Godwin,WR,TB,-1
68,Javonte Williams,RB,DEN,-1
69,Rachaad White,RB,TB,-1
70,George Kittle,TE,SF,-1
71,Alvin Kamara,RB,NO,-1
72,James Cook,RB,BUF,-1
73,Diontae Johnson,WR,PIT,-1
74,Marquise Brown,WR,ARI,-1
75,Jahan Dotson,WR,WAS,-1
76,Michael Pittman Jr.,WR,IND,-1
77,D'Andre Swift,RB,PHI,-1
78,George Pickens,WR,PIT,-1
79,Gabe Davis,WR,BUF,-1
80,Deshaun Watson,QB,CLE,-1
81,Darren Waller,TE,NYG,-1
82,Brian Robinson Jr.,RB,WAS,-1
83,Kyle Pitts,TE,ATL,-1
84,Dak Prescott,QB,DAL,-1
85,Khalil Herbert,RB,CHI,-1
86,Jordan Addison,WR,MIN,-1
87,AJ Dillon,RB,GB,-1
88,Rashaad Penny,RB,PHI,-1
89,Treylon Burks,WR,TEN,-1
90,Jaxon Smith-Njigba,WR,SEA,-1
91,Dallas Goedert,TE,PHI,-1
92,Tua Tagovailoa,QB,MIA,-1
93,Dalvin Cook,RB,NYJ,-1
94,Brandin Cooks,WR,DAL,-1
95,Daniel Jones,QB,NYG,-1
96,Antonio Gibson,RB,WAS,-1
97,Courtland Sutton,WR,DEN,-1
98,Kirk Cousins,QB,MIN,-1
99,Jamaal Williams,RB,NO,-1
100,Quentin Johnston,WR,LAC,-1
101,Elijah Moore,WR,CLE,-1
102,Geno Smith,QB,SEA,-1
103,Rashod Bateman,WR,BAL,-1
104,Zach Charbonnet,RB,SEA,-1
105,Samaje Perine,RB,DEN,-1
106,Damien Harris,RB,BUF,-1
107,Kadarius Toney,WR,KC,-1
108,Elijah Mitchell,RB,SF,-1
109,JuJu Smith-Schuster,WR,NE,-1
110,Pat Freiermuth,TE,PIT,-1
111,Zay Flowers,WR,BAL,-1
112,Michael Thomas,WR,NO,-1
113,Aaron Rodgers,QB,NYJ,-1
114,Evan Engram,TE,JAC,-1
115,David Njoku,TE,CLE,-1
116,Tyler Allgeier,RB,ATL,-1
117,Jakobi Meyers,WR,LV,-1
118,Anthony Richardson,QB,IND,-1
119,De'Von Achane,RB,MIA,-1
120,Jeff Wilson Jr.,RB,MIA,-1
121,Jameson Williams,WR,DET,-1
122,Jared Goff,QB,DET,-1
123,Nico Collins,WR,HOU,-1
124,Allen Lazard,WR,NYJ,-1
125,Russell Wilson,QB,DEN,-1
126,Skyy Moore,WR,KC,-1
127,D'Onta Foreman,RB,CHI,-1
128,Raheem Mostert,RB,MIA,-1
129,Jerick McKinnon,RB,KC,-1
130,Odell Beckham Jr.,WR,BAL,-1
131,Devin Singletary,RB,HOU,-1
132,Greg Dulcich,TE,DEN,-1
133,Chigoziem Okonkwo,TE,TEN,-1
134,Dalton Schultz,TE,HOU,-1
135,Darnell Mooney,WR,CHI,-1
136,Tyler Boyd,WR,CIN,-1
137,DJ Chark Jr.,WR,CAR,-1
138,Jaylen Warren,RB,PIT,-1
139,Cole Kmet,TE,CHI,-1
140,Tank Bigsby,RB,JAC,-1
141,Kendre Miller,RB,NO,-1
142,Adam Thielen,WR,CAR,-1
143,Kenneth Gainwell,RB,PHI,-1
144,Tyler Higbee,TE,LAR,-1
145,Gus Edwards,RB,BAL,-1
146,Donovan Peoples-Jones,WR,CLE,-1
147,Michael Gallup,WR,DAL,-1
148,Romeo Doubs,WR,GB,-1
149,Matthew Stafford,QB,LAR,-1
150,Derek Carr,QB,NO,-1
151,Zay Jones,WR,JAC,-1
152,Roschon Johnson,RB,CHI,-1
153,Rondale Moore,WR,ARI,-1
154,Gerald Everett,TE,LAC,-1
155,Rashid Shaheed,WR,NO,-1
156,Kenny Pickett,QB,PIT,-1
157,Alec Pierce,WR,IND,-1
158,Dalton Kincaid,TE,BUF,-1
159,San Francisco 49ers,DST,SF,-1
160,Chuba Hubbard,RB,CAR,-1
161,Juwan Johnson,TE,NO,-1
162,Jerome Ford,RB,CLE,-1
163,Jordan Love,QB,GB,-1
164,Dallas Cowboys,DST,DAL,-1
165,Ezekiel Elliott,RB,NE,-1
166,Taysom Hill,TE,NO,-1
167,K.J. Osborn,WR,MIN,-1
168,Curtis Samuel,WR,WAS,-1
169,Clyde Edwards-Helaire,RB,KC,-1
170,Justin Tucker,K,BAL,-1
171,Philadelphia Eagles,DST,PHI,-1
172,Buffalo Bills,DST,BUF,-1
173,Marquez Valdes-Scantling,WR,KC,-1
174,Bryce Young,QB,CAR,-1
175,Van Jefferson,WR,LAR,-1
176,Zamir White,RB,LV,-1
177,Brock Purdy,QB,SF,-1
178,Isaiah Hodgins,WR,NYG,-1
179,Tyler Bass,K,BUF,-1
180,New York Jets,DST,NYJ,-1
181,New England Patriots,DST,NE,-1
182,Chase Claypool,WR,CHI,-1
183,Harrison Butker,K,KC,-1
184,Cordarrelle Patterson,RB,ATL,-1
185,DeVante Parker,WR,NE,-1
186,Hunter Renfrow,WR,LV,-1
187,Darius Slayton,WR,NYG,-1
188,Kyler Murray,QB,ARI,-1
189,Evan McPherson,K,CIN,-1
190,Baltimore Ravens,DST,BAL,-1
191,Jonathan Mingo,WR,CAR,-1
192,Daniel Carlson,K,LV,-1
193,Ryan Tannehill,QB,TEN,-1
194,Denver Broncos,DST,DEN,-1
195,Sam LaPorta,TE,DET,-1
196,John Metchie III,WR,HOU,-1
197,Irv Smith Jr.,TE,CIN,-1
198,Dawson Knox,TE,BUF,-1
199,Mike Gesicki,TE,NE,-1
200,Kansas City Chiefs,DST,KC,-1
201,Joshua Kelley,RB,LAC,-1
202,Parris Campbell,WR,NYG,-1
203,Rashee Rice,WR,KC,-1
204,Michael Carter,RB,NYJ,-1
205,Wan'Dale Robinson,WR,NYG,-1
206,New Orleans Saints,DST,NO,-1
207,Tyjae Spears,RB,TEN,-1
208,Jayden Reed,WR,GB,-1
209,Pittsburgh Steelers,DST,PIT,-1
210,Mecole Hardman Jr.,WR,NYJ,-1
211,Younghoe Koo,K,ATL,-1
212,Cincinnati Bengals,DST,CIN,-1
213,Joshua Palmer,WR,LAC,-1
214,Pierre Strong Jr.,RB,NE,-1
215,C.J. Stroud,QB,HOU,-1
216,Miami Dolphins,DST,MIA,-1
217,Tyquan Thornton,WR,NE,-1
218,Leonard Fournette,RB,FA,-1
219,Hunter Henry,TE,NE,-1
220,Jason Sanders,K,MIA,-1
221,Allen Robinson II,WR,PIT,-1
222,Jalin Hyatt,WR,NYG,-1
223,Kareem Hunt,RB,FA,-1
224,Jimmy Garoppolo,QB,LV,-1
225,Sam Howell,QB,WAS,-1
226,Robert Woods,WR,HOU,-1
227,Terrace Marshall Jr.,WR,CAR,-1
228,Marvin Mims Jr.,WR,DEN,-1
229,Corey Davis,WR,NYJ,-1
230,Mac Jones,QB,NE,-1
231,Hayden Hurst,TE,CAR,-1
232,Josh Downs,WR,IND,-1
233,Jake Elliott,K,PHI,-1
234,Brandon McManus,K,JAC,-1
235,Tampa Bay Buccaneers,DST,TB,-1
236,Trey McBride,TE,ARI,-1
237,Washington Commanders,DST,WAS,-1
238,Jason Myers,K,SEA,-1
239,Cleveland Browns,DST,CLE,-1
240,Chase Edmonds,RB,TB,-1
241,Green Bay Packers,DST,GB,-1
242,Zach Evans,RB,LAR,-1
243,Chase Brown,RB,CIN,-1
244,Los Angeles Chargers,DST,LAC,-1
245,Graham Gano,K,NYG,-1
246,Matt Gay,K,IND,-1
247,Greg Joseph,K,MIN,-1
248,Noah Fant,TE,SEA,-1
249,Greg Zuerlein,K,NYJ,-1
250,Jacksonville Jaguars,DST,JAC,-1
251,Michael Mayer,TE,LV,-1
252,Khalil Shakir,WR,BUF,-1
253,Russell Gage,WR,TB,-1
254,Desmond Ridder,QB,ATL,-1
255,Nick Folk,K,NE,-1
256,Indianapolis Colts,DST,IND,-1
257,Jelani Woods,TE,IND,-1
258,Kyren Williams,RB,LAR,-1
259,Isaiah Spiller,RB,LAC,-1
260,Richie James Jr.,WR,KC,-1
261,Marvin Jones Jr.,WR,DET,-1
262,Wil Lutz,K,NO,-1
263,Isaiah Likely,TE,BAL,-1
264,Israel Abanikanda,RB,NYJ,-1
265,Josh Reynolds,WR,DET,-1
266,Zach Ertz,TE,ARI,-1
267,Mack Hollins,WR,ATL,-1
268,Matt Prater,K,ARI,-1
269,Sterling Shepard,WR,NYG,-1
270,Carolina Panthers,DST,CAR,-1
271,Kendrick Bourne,WR,NE,-1
272,Chris Boswell,K,PIT,-1
273,Los Angeles Rams,DST,LAR,-1
274,Zonovan Knight,RB,NYJ,-1
275,Boston Scott,RB,PHI,-1
276,Zack Moss,RB,IND,-1
277,Seattle Seahawks,DST,SEA,-1
278,Riley Patterson,K,DET,-1
279,DeWayne McBride,RB,MIN,-1
280,Baker Mayfield,QB,TB,-1
281,Malik Davis,RB,DAL,-1
282,Evan Hull,RB,IND,-1
283,Latavius Murray,RB,BUF,-1
284,Ty Chandler,RB,MIN,-1
285,Cade Otton,TE,TB,-1
286,D'Ernest Johnson,RB,JAC,-1
287,New York Giants,DST,NYG,-1
288,Tank Dell,WR,HOU,-1
289,Jake Ferguson,TE,DAL,-1
290,Isaiah McKenzie,WR,IND,-1
291,Jake Moody,K,SF,-1
292,Logan Thomas,TE,WAS,-1
293,Quez Watkins,WR,PHI,-1
294,Matt Breida,RB,NYG,-1
295,Dustin Hopkins,K,LAC,-1
296,Laviska Shenault Jr.,WR,CAR,-1
297,Jordan Mason,RB,SF,-1
298,Keaontay Ingram,RB,ARI,-1
299,Cairo Santos,K,CHI,-1
300,Tennessee Titans,DST,TEN,-1
301,Kayshon Boutte,WR,NE,-1
302,Detroit Lions,DST,DET,-1
303,Cedric Tillman,WR,CLE,-1
304,Puka Nacua,WR,LAR,-1
305,Ka'imi Fairbairn,K,HOU,-1
306,Tyler Conklin,TE,NYJ,-1
307,Braxton Berrios,WR,MIA,-1
308,JaMycal Hasty,RB,JAC,-1
309,Ronald Jones II,RB,DAL,-1
310,James Robinson,RB,NYG,-1
311,Luke Musgrave,TE,GB,-1
312,Nick Westbrook-Ikhine,WR,TEN,-1
313,Justyn Ross,WR,KC,-1
314,Deuce Vaughn,RB,DAL,-1
315,Sean Tucker,RB,TB,-1
316,Devin Duvernay,WR,BAL,-1
317,Tyrion Davis-Price,RB,SF,-1
318,Daniel Bellinger,TE,NYG,-1
319,Trey Lance,QB,SF,-1
320,Eric Gray,RB,NYG,-1
321,David Bell,WR,CLE,-1
322,Michael Badgley,K,WAS,-1
323,Michael Wilson,WR,ARI,-1
