Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Ja'Marr Chase,WR,CIN,-1
3,Christian McCaffrey,RB,SF,-1
4,Austin Ekeler,RB,LAC,-1
5,Saquon Barkley,RB,NYG,-1
6,Cooper Kupp,WR,LAR,-1
7,Bijan Robinson,RB,ATL,-1
8,A.J. Brown,WR,PHI,-1
9,Tony Pollard,RB,DAL,-1
10,Travis Kelce,TE,KC,-1
11,Stefon Diggs,WR,BUF,-1
12,Tyreek Hill,WR,MIA,-1
13,CeeDee Lamb,WR,DAL,-1
14,Jonathan Taylor,RB,IND,-1
15,Davante Adams,WR,LV,-1
16,Nick Chubb,RB,CLE,-1
17,Derrick Henry,RB,TEN,-1
18,Josh Jacobs,RB,LV,-1
19,Garrett Wilson,WR,NYJ,-1
20,Amon-Ra St. Brown,WR,DET,-1
21,Breece Hall,RB,NYJ,-1
22,Rhamondre Stevenson,RB,NE,-1
23,Mark Andrews,TE,BAL,-1
24,Chris Olave,WR,NO,-1
25,Travis Etienne Jr.,RB,JAC,-1
26,Aaron Jones,RB,GB,-1
27,Jaylen Waddle,WR,MIA,-1
28,Kenneth Walker III,RB,SEA,-1
29,DeVonta Smith,WR,PHI,-1
30,Tee Higgins,WR,CIN,-1
31,T.J. Hockenson,TE,MIN,-1
32,Najee Harris,RB,PIT,-1
33,DK Metcalf,WR,SEA,-1
34,Jahmyr Gibbs,RB,DET,-1
35,Keenan Allen,WR,LAC,-1
36,Patrick Mahomes II,QB,KC,-1
37,Jalen Hurts,QB,PHI,-1
38,Joe Mixon,RB,CIN,-1
39,Josh Allen,QB,BUF,-1
40,Cam Akers,RB,LAR,-1
41,Amari Cooper,WR,CLE,-1
42,J.K. Dobbins,RB,BAL,-1
43,Deebo Samuel,WR,SF,-1
44,Alexander Mattison,RB,MIN,-1
45,Chris Godwin,WR,TB,-1
46,Drake London,WR,ATL,-1
47,James Conner,RB,ARI,-1
48,Miles Sanders,RB,CAR,-1
49,DeAndre Hopkins,WR,TEN,-1
50,Dalvin Cook,RB,NYJ,-1
51,George Kittle,TE,SF,-1
52,DJ Moore,WR,CHI,-1
53,Dameon Pierce,RB,HOU,-1
54,Terry McLaurin,WR,WAS,-1
