Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Ja'Marr Chase,WR,CIN,-1
3,Christian McCaffrey,RB,SF,-1
4,Tyreek Hill,WR,MIA,-1
5,Austin Ekeler,RB,LAC,-1
6,Travis Kelce,TE,KC,-1
7,A.J. Brown,WR,PHI,-1
8,Saquon Barkley,RB,NYG,-1
9,Bijan Robinson,RB,ATL,-1
10,CeeDee Lamb,WR,DAL,-1
11,Nick Chubb,RB,CLE,-1
12,Stefon Diggs,WR,BUF,-1
13,Cooper Kupp,WR,LAR,-1
14,Garrett Wilson,WR,NYJ,-1
15,Derrick Henry,RB,TEN,-1
16,Tony Pollard,RB,DAL,-1
17,Josh Allen,QB,BUF,-1
18,Patrick Mahomes II,QB,KC,-1
19,Tee Higgins,WR,CIN,-1
20,Jalen Hurts,QB,PHI,-1
21,Amon-Ra St. Brown,WR,DET,-1
22,Chris Olave,WR,NO,-1
23,DK Metcalf,WR,SEA,-1
24,Jaylen Waddle,WR,MIA,-1
25,Davante Adams,WR,LV,-1
26,Jonathan Taylor,RB,IND,-1
27,DeVonta Smith,WR,PHI,-1
28,Travis Etienne Jr.,RB,JAC,-1
29,Amari Cooper,WR,CLE,-1
30,Najee Harris,RB,PIT,-1
31,Rhamondre Stevenson,RB,NE,-1
32,Josh Jacobs,RB,LV,-1
33,Jerry Jeudy,WR,DEN,-1
34,Jahmyr Gibbs,RB,DET,-1
35,Deebo Samuel,WR,SF,-1
36,Chris Godwin,WR,TB,-1
37,Joe Mixon,RB,CIN,-1
38,Cam Akers,RB,LAR,-1
39,Mark Andrews,TE,BAL,-1
40,Terry McLaurin,WR,WAS,-1
41,Kenneth Walker III,RB,SEA,-1
42,Keenan Allen,WR,LAC,-1
43,Breece Hall,RB,NYJ,-1
44,Michael Pittman Jr.,WR,IND,-1
45,Calvin Ridley,WR,JAC,-1
46,Mike Evans,WR,TB,-1
47,Lamar Jackson,QB,BAL,-1
48,George Kittle,TE,SF,-1
49,Drake London,WR,ATL,-1
50,DJ Moore,WR,CHI,-1
51,Brandon Aiyuk,WR,SF,-1
52,Aaron Jones,RB,GB,-1
53,Dameon Pierce,RB,HOU,-1
54,Mike Williams,WR,LAC,-1
55,Justin Fields,QB,CHI,-1
