Rank,Name,Pos,Team,Cost
1,Justin Jefferson,WR,MIN,-1
2,Ja'Marr Chase,WR,CIN,-1
3,Cooper Kupp,WR,LAR,-1
4,Christian McCaffrey,RB,SF,-1
5,Austin Ekeler,RB,LAC,-1
6,Tyreek Hill,WR,MIA,-1
7,Travis Kelce,TE,KC,-1
8,Stefon Diggs,WR,BUF,-1
9,CeeDee Lamb,WR,DAL,-1
10,Bijan Robinson,RB,ATL,-1
11,A.J. Brown,WR,PHI,-1
12,Tony Pollard,RB,DAL,-1
13,Garrett Wilson,WR,NYJ,-1
14,Davante Adams,WR,LV,-1
15,Amon-Ra St. Brown,WR,DET,-1
16,Nick Chubb,RB,CLE,-1
17,Saquon Barkley,RB,NYG,-1
18,Chris Olave,WR,NO,-1
19,Jaylen Waddle,WR,MIA,-1
20,Tee Higgins,WR,CIN,-1
21,DeVonta Smith,WR,PHI,-1
22,DK Metcalf,WR,SEA,-1
23,Mark Andrews,TE,BAL,-1
24,Rhamondre Stevenson,RB,NE,-1
25,Derrick Henry,RB,TEN,-1
27,Jahmyr Gibbs,RB,DET,-1
28,Jalen Hurts,QB,PHI,-1
29,Patrick Mahomes II,QB,KC,-1
30,Josh Allen,QB,BUF,-1
31,Josh Jacobs,RB,LV,-1
33,Amari Cooper,WR,CLE,-1
34,Calvin Ridley,WR,JAC,-1
35,Keenan Allen,WR,LAC,-1
36,Travis Etienne Jr.,RB,JAC,-1
37,Lamar Jackson,QB,BAL,-1
38,Najee Harris,RB,PIT,-1
39,Aaron Jones,RB,GB,-1
40,DJ Moore,WR,CHI,-1
41,Brandon Aiyuk,WR,SF,-1
42,Alexander Mattison,RB,MIN,-1
43,Deebo Samuel,WR,SF,-1
44,Jerry Jeudy,WR,DEN,-1
45,Joe Mixon,RB,CIN,-1
46,Terry McLaurin,WR,WAS,-1
47,Mike Williams,WR,LAC,-1
48,Chris Godwin,WR,TB,-1
49,DeAndre Hopkins,WR,TEN,-1
50,Miles Sanders,RB,CAR,-1
51,Christian Kirk,WR,JAC,-1
52,T.J. Hockenson,TE,MIN,-1
53,Justin Fields,QB,CHI,-1
54,George Kittle,TE,SF,-1
55,Darren Waller,TE,NYG,-1
56,Marquise Brown,WR,ARI,-1
57,Drake London,WR,ATL,-1
